Athlete Name,Country,Gold_medals,Silver_medals,Bronze_medals,Total_medals,Year,Season
Zhang Yufei,China,0,1,5,6,2024,summer
Léon Marchand,France,4,0,1,5,2024,summer
Torri Huske,United States,3,2,0,5,2024,summer
Mollie O'Callaghan,Australia,3,1,1,5,2024,summer
Regan Smith,United States,2,3,0,5,2024,summer
Kaylee McKeown,Australia,2,1,2,5,2024,summer
Simone Biles,United States,3,1,0,4,2024,summer
Summer McIntosh,Canada,3,1,0,4,2024,summer
Shinnosuke Oka,Japan,3,0,1,4,2024,summer
Gretchen Walsh,United States,2,2,0,4,2024,summer
Kate Douglass,United States,2,2,0,4,2024,summer
Ariarne Titmus,Australia,2,2,0,4,2024,summer
Katie Ledecky,United States,2,1,1,4,2024,summer
Rebeca Andrade,Brazil,1,2,1,4,2024,summer
Yang Junxuan,China,0,1,3,4,2024,summer
Kim Woojin,South Korea,3,0,0,3,2024,summer
Lim Sihyeon,South Korea,3,0,0,3,2024,summer
Gabrielle Thomas,United States,3,0,0,3,2024,summer
Lisa Carrington,New Zealand,3,0,0,3,2024,summer
Harrie Lavreysen,Netherlands,3,0,0,3,2024,summer
Caeleb Dressel,United States,2,1,0,3,2024,summer
Ellesse Andrews,New Zealand,2,1,0,3,2024,summer
Pan Zhanle,China,2,1,0,3,2024,summer
Sun Yingsha,China,2,1,0,3,2024,summer
Nic Fink,United States,1,2,0,3,2024,summer
Zou Jingyuan,China,1,2,0,3,2024,summer
Xu Jiayu,China,1,2,0,3,2024,summer
Meg Harris,Australia,1,2,0,3,2024,summer
Ryan Murphy,United States,1,1,1,3,2024,summer
Femke Bol,Netherlands,1,1,1,3,2024,summer
Emma McKeon,Australia,1,1,1,3,2024,summer
Sunisa Lee,United States,1,0,2,3,2024,summer
Sifan Hassan,Netherlands,1,0,2,3,2024,summer
Emma Finucane,Great Britain,1,0,2,3,2024,summer
Tamara Csipes,Hungary,0,2,1,3,2024,summer
Zhang Boheng,China,0,2,1,3,2024,summer
Tang Qianting,China,0,2,1,3,2024,summer
Matthew Richardson,Australia,0,2,1,3,2024,summer
Kyle Chalmers,Australia,0,2,1,3,2024,summer
Oh Sanguk,South Korea,2,0,0,2,2024,summer
Carlos Edriel Yulo,Philippines,2,0,0,2,2024,summer
Kristen Faulkner,United States,2,0,0,2,2024,summer
Rai Benjamin,United States,2,0,0,2,2024,summer
Sydney McLaughlin-Levrone,United States,2,0,0,2,2024,summer
Jennifer Valente,United States,2,0,0,2,2024,summer
Lee Kiefer,United States,2,0,0,2,2024,summer
Sarah Sjöström,Sweden,2,0,0,2,2024,summer
Alicia Hoskin,New Zealand,2,0,0,2,2024,summer
Beatrice Chebet,Kenya,2,0,0,2,2024,summer
Max Lemke,Germany,2,0,0,2,2024,summer
Jessica von Bredow-Werndl,Germany,2,0,0,2,2024,summer
Jacob Schopf,Germany,2,0,0,2,2024,summer
Teddy Riner,France,2,0,0,2,2024,summer
Wang Chuqin,China,2,0,0,2,2024,summer
Chen Yiwen,China,2,0,0,2,2024,summer
Fan Zhendong,China,2,0,0,2,2024,summer
Chen Meng,China,2,0,0,2,2024,summer
Quan Hongchan,China,2,0,0,2,2024,summer
Sheng Lihao,China,2,0,0,2,2024,summer
Remco Evenepoel,Belgium,2,0,0,2,2024,summer
