Country,Gold_medals,Silver_medals,Bronze_medals,Total_medals,Year,Season
USAUnited States,40,44,42,126,2024,summer
CHNChina,40,27,24,91,2024,summer
GBRGreat Britain,14,22,29,65,2024,summer
FRAFrance,16,26,22,64,2024,summer
AUSAustralia,18,19,16,53,2024,summer
JPNJapan,20,12,13,45,2024,summer
ITAItaly,12,13,15,40,2024,summer
NEDNetherlands,15,7,12,34,2024,summer
GERGermany,12,13,8,33,2024,summer
KORSouth Korea,13,9,10,32,2024,summer
CANCanada,9,7,11,27,2024,summer
NZLNew Zealand,10,7,3,20,2024,summer
BRABrazil,3,7,10,20,2024,summer
HUNHungary,6,7,6,19,2024,summer
ESPSpain,5,4,9,18,2024,summer
UZBUzbekistan,8,2,3,13,2024,summer
IRIIran,3,6,3,12,2024,summer
UKRUkraine,3,5,4,12,2024,summer
SWESweden,4,4,3,11,2024,summer
KENKenya,4,2,5,11,2024,summer
BELBelgium,3,1,6,10,2024,summer
POLPoland,1,4,5,10,2024,summer
ROURomania,3,4,2,9,2024,summer
DENDenmark,2,2,5,9,2024,summer
CUBCuba,2,1,6,9,2024,summer
NORNorway,4,1,3,8,2024,summer
SUISwitzerland,1,2,5,8,2024,summer
GREGreece,1,1,6,8,2024,summer
TURTurkey,0,3,5,8,2024,summer
IRLIreland,4,0,3,7,2024,summer
GEOGeorgia,3,3,1,7,2024,summer
BULBulgaria,3,1,3,7,2024,summer
CROCroatia,2,2,3,7,2024,summer
AZEAzerbaijan,2,2,3,7,2024,summer
TPEChinese Taipei,2,0,5,7,2024,summer
ISRIsrael,1,5,1,7,2024,summer
KAZKazakhstan,1,3,3,7,2024,summer
THAThailand,1,3,2,6,2024,summer
RSASouth Africa,1,3,2,6,2024,summer
JAMJamaica,1,3,2,6,2024,summer
PRKNorth Korea,0,2,4,6,2024,summer
KGZKyrgyzstan,0,2,4,6,2024,summer
INDIndia,0,1,5,6,2024,summer
SRBSerbia,3,1,1,5,2024,summer
CZECzechia,3,0,2,5,2024,summer
AUTAustria,2,0,3,5,2024,summer
ECUEcuador,1,2,2,5,2024,summer
MEXMexico,0,3,2,5,2024,summer
BRNBahrain,2,1,1,4,2024,summer
PHIPhilippines,2,0,2,4,2024,summer
HKGHong Kong,2,0,2,4,2024,summer
ETHEthiopia,1,3,0,4,2024,summer
PORPortugal,1,2,1,4,2024,summer
COLColombia,0,3,1,4,2024,summer
ARMArmenia,0,3,1,4,2024,summer
LTULithuania,0,2,2,4,2024,summer
MDAMoldova,0,1,3,4,2024,summer
SLOSlovenia,2,1,0,3,2024,summer
INAIndonesia,2,0,1,3,2024,summer
ALGAlgeria,2,0,1,3,2024,summer
TUNTunisia,1,1,1,3,2024,summer
EGYEgypt,1,1,1,3,2024,summer
ARGArgentina,1,1,1,3,2024,summer
DOMDominican Republic,1,0,2,3,2024,summer
TJKTajikistan,0,0,3,3,2024,summer
UGAUganda,1,1,0,2,2024,summer
LCASaint Lucia,1,1,0,2,2024,summer
BOTBotswana,1,1,0,2,2024,summer
CHIChile,1,1,0,2,2024,summer
MARMorocco,1,0,1,2,2024,summer
GUAGuatemala,1,0,1,2,2024,summer
KOSKosovo,0,1,1,2,2024,summer
MASMalaysia,0,0,2,2,2024,summer
GRNGrenada,0,0,2,2,2024,summer
ALBAlbania,0,0,2,2,2024,summer
PURPuerto Rico,0,0,2,2,2024,summer
DMADominica,1,0,0,1,2024,summer
PAKPakistan,1,0,0,1,2024,summer
PANPanama,0,1,0,1,2024,summer
JORJordan,0,1,0,1,2024,summer
MGLMongolia,0,1,0,1,2024,summer
FIJFiji,0,1,0,1,2024,summer
CYPCyprus,0,1,0,1,2024,summer
